scene_id,timestamp,cup_id,x,y,hand_distance,last_touched_time,touch_count,moved_recently,distance_to_tray,user_present,user_absent_time,active_cup_id,is_active_cup,time_near_cup,time_since_release,release_count,cup_motion_distance,stationary_time,was_moved,used_cup_candidate,idle_candidate,label
11,1779178489.7,0,0.6937,0.6486,0.0913,0.0,15,0,0.4887,1,0.0,1,0,2.132,1005.243,0,0.0,6.243,0,1,0,IDLE
11,1779178489.7,1,0.5,0.7486,0.0846,0.0,16,0,0.5486,1,0.0,1,1,2.272,4.261,1,0.0,6.243,0,1,0,WAIT
11,1779178489.7,2,0.8539,0.5806,0.2348,1005.243,0,0,0.5197,1,0.0,1,0,0.0,1005.243,0,0.0,6.243,0,0,1,IDLE
12,1779178490.272,0,0.6937,0.6486,0.0923,0.0,19,0,0.4887,1,0.0,1,0,2.703,1005.814,0,0.0,6.814,0,1,0,IDLE
12,1779178490.272,1,0.5,0.7472,0.0834,0.0,20,0,0.5472,1,0.0,1,1,2.843,4.832,1,0.0,6.814,0,1,0,WAIT
12,1779178490.272,2,0.8539,0.5792,0.236,1005.814,0,0,0.5187,1,0.0,1,0,0.0,1005.814,0,0.0,6.814,0,0,1,IDLE
13,1779178490.835,0,0.6937,0.6486,0.0824,0.0,23,0,0.4887,1,0.0,0,1,3.267,1006.378,0,0.0,7.378,0,1,0,WAIT
13,1779178490.835,1,0.5,0.7486,0.0943,0.0,24,0,0.5486,1,0.0,0,0,3.406,5.396,1,0.0,7.378,0,1,0,ASK
13,1779178490.835,2,0.8539,0.5806,0.2253,1006.378,0,0,0.5197,1,0.0,0,0,0.0,1006.378,0,0.0,7.378,0,0,1,IDLE
14,1779178491.396,0,0.6937,0.6486,0.0831,0.0,27,0,0.4887,1,0.0,0,1,3.828,1006.939,0,0.0,7.939,0,1,0,WAIT
14,1779178491.396,1,0.5,0.7486,0.0936,0.0,28,0,0.5486,1,0.0,0,0,3.967,5.957,1,0.0,7.939,0,1,0,ASK
14,1779178491.396,2,0.8539,0.5792,0.2262,1006.939,0,0,0.5187,1,0.0,0,0,0.0,1006.939,0,0.0,7.939,0,0,1,IDLE
15,1779178491.972,0,0.6937,0.6486,0.0831,0.0,31,0,0.4887,1,0.0,0,1,4.404,1007.515,0,0.0,8.515,0,1,0,WAIT
15,1779178491.972,1,0.5,0.7486,0.0936,0.0,32,0,0.5486,1,0.0,0,0,4.543,6.533,1,0.0,8.515,0,1,0,ASK
15,1779178491.972,2,0.8539,0.5792,0.2262,1007.515,0,0,0.5187,1,0.0,0,0,0.0,1007.515,0,0.0,8.515,0,0,1,IDLE
16,1779178492.528,0,0.6937,0.6486,0.0831,0.0,35,0,0.4887,1,0.0,0,1,4.959,1008.07,0,0.0,9.07,0,1,0,WAIT
16,1779178492.528,1,0.5,0.7486,0.0936,0.0,36,0,0.5486,1,0.0,0,0,5.099,7.089,1,0.0,9.07,0,1,0,ASK
16,1779178492.528,2,0.8539,0.5792,0.2262,1008.07,0,0,0.5187,1,0.0,0,0,0.0,1008.07,0,0.0,9.07,0,0,1,IDLE
17,1779178493.108,0,0.6945,0.6486,0.084,0.0,39,0,0.489,1,0.0,0,1,5.539,1008.65,0,0.0,9.65,0,1,0,WAIT
17,1779178493.108,1,0.5,0.7486,0.0935,0.0,40,0,0.5486,1,0.0,0,0,5.679,7.669,1,0.0,9.65,0,1,0,ASK
17,1779178493.108,2,0.8539,0.5806,0.2262,1008.65,0,0,0.5197,1,0.0,0,0,0.0,1008.65,0,0.0,9.65,0,0,1,IDLE
18,1779178493.667,0,0.6945,0.6486,0.084,0.0,43,0,0.489,1,0.0,0,1,6.098,1009.209,0,0.0,10.209,0,1,0,WAIT
18,1779178493.667,1,0.5,0.7472,0.0934,0.0,44,0,0.5472,1,0.0,0,0,6.238,8.228,1,0.0,10.209,0,1,0,ASK
18,1779178493.667,2,0.8539,0.5806,0.2262,1009.209,0,0,0.5197,1,0.0,0,0,0.0,1009.209,0,0.0,10.209,0,0,1,IDLE
19,1779178494.229,0,0.6945,0.6486,0.0837,0.0,47,0,0.489,1,0.0,0,1,6.66,1009.771,0,0.0,10.771,0,1,0,WAIT
19,1779178494.229,1,0.5,0.7486,0.0936,0.0,48,0,0.5486,1,0.0,0,0,6.8,8.789,1,0.0,10.771,0,1,0,ASK
19,1779178494.229,2,0.8539,0.5792,0.2262,1009.771,0,0,0.5187,1,0.0,0,0,0.0,1009.771,0,0.0,10.771,0,0,1,IDLE
20,1779178494.804,0,0.6945,0.6486,0.084,0.0,51,0,0.489,1,0.0,0,1,7.236,1010.347,0,0.0,11.347,0,1,0,WAIT
20,1779178494.804,1,0.5,0.7486,0.0935,0.0,52,0,0.5486,1,0.0,0,0,7.376,9.365,1,0.0,11.347,0,1,0,ASK
20,1779178494.804,2,0.8539,0.5792,0.2264,1010.347,0,0,0.5187,1,0.0,0,0,0.0,1010.347,0,0.0,11.347,0,0,1,IDLE
21,1779178495.362,0,0.6945,0.6486,0.084,0.0,55,0,0.489,1,0.0,0,1,7.794,1010.905,0,0.0,11.905,0,1,0,WAIT
21,1779178495.362,1,0.5,0.7486,0.0935,0.0,56,0,0.5486,1,0.0,0,0,7.934,9.923,1,0.0,11.905,0,1,0,ASK
21,1779178495.362,2,0.8539,0.5792,0.2264,1010.905,0,0,0.5187,1,0.0,0,0,0.0,1010.905,0,0.0,11.905,0,0,1,IDLE
22,1779178495.939,0,0.6945,0.6486,0.0846,0.0,59,0,0.489,1,0.0,0,1,8.371,1011.482,0,0.0,12.482,0,1,0,WAIT
22,1779178495.939,1,0.5,0.7486,0.0928,0.0,60,0,0.5486,1,0.0,0,0,8.51,10.5,1,0.0,12.482,0,1,0,IDLE
22,1779178495.939,2,0.8539,0.5792,0.227,1011.482,0,0,0.5187,1,0.0,0,0,0.0,1011.482,0,0.0,12.482,0,0,1,IDLE
23,1779178496.499,0,0.6945,0.6486,0.084,0.0,63,0,0.489,1,0.0,0,1,8.93,1012.041,0,0.0,13.041,0,1,0,WAIT
23,1779178496.499,1,0.5008,0.7486,0.0928,0.0,64,0,0.5486,1,0.0,0,0,9.07,11.06,1,0.0,13.041,0,1,0,IDLE
23,1779178496.499,2,0.8539,0.5792,0.2264,1012.041,0,0,0.5187,1,0.0,0,0,0.0,1012.041,0,0.0,13.041,0,0,1,IDLE
24,1779178497.075,0,0.6945,0.6486,0.084,0.0,67,0,0.489,1,0.0,0,1,9.507,1012.618,0,0.0,13.618,0,1,0,WAIT
24,1779178497.075,1,0.5,0.7486,0.0935,0.0,68,0,0.5486,1,0.0,0,0,9.646,11.636,1,0.0,13.618,0,1,0,IDLE
24,1779178497.075,2,0.8539,0.5806,0.2262,1012.618,0,0,0.5197,1,0.0,0,0,0.0,1012.618,0,0.0,13.618,0,0,1,IDLE
25,1779178497.636,0,0.6945,0.6486,0.084,0.0,71,0,0.489,1,0.0,0,1,10.067,1013.178,0,0.0,14.178,0,1,0,WAIT
25,1779178497.636,1,0.5,0.7472,0.0934,0.0,72,0,0.5472,1,0.0,0,0,10.207,12.197,1,0.0,14.178,0,1,0,IDLE
25,1779178497.636,2,0.8539,0.5806,0.2262,1013.178,0,0,0.5197,1,0.0,0,0,0.0,1013.178,0,0.0,14.178,0,0,1,IDLE
26,1779178498.196,0,0.6945,0.6486,0.084,0.0,75,0,0.489,1,0.0,0,1,10.628,1013.739,0,0.0,14.739,0,1,0,WAIT
26,1779178498.196,1,0.5016,0.7486,0.0921,0.0,76,0,0.5486,1,0.0,0,0,10.767,12.757,1,0.0,14.739,0,1,0,IDLE
26,1779178498.196,2,0.8555,0.5792,0.2277,1013.739,0,0,0.5197,1,0.0,0,0,0.0,1013.739,0,0.0,14.739,0,0,1,IDLE
27,1779178498.772,0,0.6945,0.6486,0.0831,0.0,79,0,0.489,1,0.0,0,1,11.204,1014.315,0,0.0,15.315,0,1,0,WAIT
27,1779178498.772,1,0.5016,0.7472,0.0928,0.0,80,0,0.5472,1,0.0,0,0,11.343,13.333,1,0.0,15.315,0,1,0,IDLE
27,1779178498.772,2,0.8555,0.5792,0.2268,1014.315,0,0,0.5197,1,0.0,0,0,0.0,1014.315,0,0.0,15.315,0,0,1,IDLE
28,1779178499.334,0,0.6945,0.6486,0.0833,0.0,83,0,0.489,1,0.0,0,1,11.765,1014.876,0,0.0,15.876,0,1,0,WAIT
28,1779178499.334,1,0.5016,0.7472,0.0927,0.0,84,0,0.5472,1,0.0,0,0,11.905,13.895,1,0.0,15.876,0,1,0,IDLE
28,1779178499.334,2,0.8555,0.5806,0.2268,1014.876,0,0,0.5208,1,0.0,0,0,0.0,1014.876,0,0.0,15.876,0,0,1,IDLE
29,1779178499.908,0,0.6945,0.6486,0.0833,0.0,87,0,0.489,1,0.0,0,1,12.339,1015.45,0,0.0,16.45,0,1,0,WAIT
29,1779178499.908,1,0.5016,0.7472,0.0927,0.0,88,0,0.5472,1,0.0,0,0,12.479,14.469,1,0.0,16.45,0,1,0,IDLE
