scene_id,timestamp,cup_id,x,y,hand_distance,last_touched_time,touch_count,moved_recently,distance_to_tray,user_present,user_absent_time,active_cup_id,is_active_cup,time_near_cup,time_since_release,release_count,cup_motion_distance,stationary_time,was_moved,used_cup_candidate,idle_candidate,label
11,1779177892.408,0,0.7258,0.6403,0.1138,0.0,9,0,0.4948,1,0.0,2,0,1.28,1.696,1,0.0,6.242,0,1,0,ASK
11,1779177892.408,1,0.5727,0.6972,0.2415,1005.242,0,0,0.5025,1,0.0,2,0,0.0,1005.242,0,0.0,6.242,0,0,1,IDLE
11,1779177892.408,2,0.8,0.5819,0.0516,0.0,12,0,0.4857,1,0.0,2,1,1.715,1.696,1,0.0,6.242,0,1,0,WAIT
12,1779177892.969,0,0.7242,0.6403,0.0961,0.0,13,0,0.4941,1,0.0,2,0,1.842,2.258,1,0.0,6.804,0,1,0,ASK
12,1779177892.969,1,0.5734,0.6972,0.2269,1005.804,0,0,0.5026,1,0.0,2,0,0.0,1005.804,0,0.0,6.804,0,0,1,IDLE
12,1779177892.969,2,0.8,0.5819,0.0276,0.0,16,0,0.4857,1,0.0,2,1,2.276,2.258,1,0.0,6.804,0,1,0,WAIT
13,1779177893.544,0,0.725,0.6403,999.0,0.574,13,0,0.4944,1,0.0,-1,0,1.842,0.432,2,0.0,7.378,0,1,0,ASK
13,1779177893.544,1,0.5734,0.6972,999.0,1006.378,0,0,0.5026,1,0.0,-1,0,0.0,1006.378,0,0.0,7.378,0,0,1,IDLE
13,1779177893.544,2,0.8039,0.4806,999.0,0.574,16,1,0.4136,1,0.0,-1,0,2.276,0.432,2,0.0,0.0,0,1,0,ASK
14,1779177894.098,0,0.7234,0.6389,999.0,1.129,13,0,0.4925,1,0.0,-1,0,1.842,0.986,2,0.0,7.932,0,1,0,ASK
14,1779177894.098,1,0.5734,0.6972,999.0,1006.932,0,0,0.5026,1,0.0,-1,0,0.0,1006.932,0,0.0,7.932,0,0,1,IDLE
14,1779177894.098,2,0.7961,0.4139,999.0,1.129,16,0,0.3653,1,0.0,-1,0,2.276,0.986,2,0.0,0.138,0,1,0,ASK
15,1779177894.678,0,0.7227,0.6389,0.1749,1.709,13,0,0.4921,1,0.0,2,0,1.842,1.566,2,0.0,8.512,0,1,0,ASK
15,1779177894.678,1,0.5734,0.6972,0.2665,1007.512,0,0,0.5026,1,0.0,2,0,0.0,1007.512,0,0.0,8.512,0,0,1,IDLE
15,1779177894.678,2,0.7688,0.3097,0.0119,0.0,18,0,0.2903,1,0.0,2,1,2.563,1.566,2,0.0,0.142,0,1,0,WAIT
16,1779177895.24,0,0.7227,0.6389,0.176,2.27,13,0,0.4921,1,0.0,2,0,1.842,2.128,2,0.0,9.074,0,1,0,ASK
16,1779177895.24,1,0.5734,0.6972,0.2591,1008.074,0,0,0.5026,1,0.0,2,0,0.0,1008.074,0,0.0,9.074,0,0,1,IDLE
16,1779177895.24,2,0.7469,0.3028,0.0142,0.0,22,0,0.2674,1,0.0,2,1,3.124,2.128,2,0.0,0.704,0,1,0,WAIT
